Barreiras de Acessibilidade e Estratégias de Contorno — Consolidado (exp01–exp05),,,,,,,,,,
"Pesquisa: Impacto de Barreiras de Usabilidade em Portais Web para Usuários com Deficiência Visual — Vítor Lagares Stahlberg (PUC Minas)   |   Grupo Experimental (NVDA).  Severidade: escala Nielsen adaptada 0–4 inferida dos relatos.  Eficácia: Efetiva = objetivo atingido pelo contorno; Parcial = dado obtido de forma incompleta/imprecisa ou com ajuda; Não efetiva = falhou.",,,,,,,,,,
ID,Barreira (nome / tipo),Categoria,Criticidade (0-4 Nielsen),Rótulo de severidade,Justificativa da severidade,Critério(s) WCAG,Tarefas afetadas,Participante,Estratégia de contorno utilizada,Eficácia do contorno
B01,Ausência de cabeçalho semântico / skip link no resultado,ROT,2,Menor,"Quebra a navegação rápida por H; força leitura linear linha a linha. Contornável, mas custa tempo. Convergência exp03/exp04.",1.3.1 (A); 2.4.6 (AA); 2.4.1 (A),T1,exp03,Navegação linear por varredura (fallback): abandona H e lê com setas a partir de Ctrl+Home,Efetiva
,,,,,,,,exp04,Navegação linear estrita linha por linha (setas) para compensar falta de atalhos,Efetiva
B02,Painel/iframe Power BI inacessível (dados estatísticos silenciados ao leitor),DIN,4,Catastrófica,"Bloqueio catastrófico unânime na amostra (exp01-05). NVDA anuncia só ""aplicativo/frame/imagem""; sem resíduo visual a tarefa é impossível. Contornos por mouse capturam dados parciais/errados ou falham.",1.1.1 (A); 1.3.1 (A); 4.1.2 (A),"T2, T4 (gráficos), T5",exp01,Mouse por orientação espacial + rosto junto à tela para forçar leitura de tooltips flutuantes,Não efetiva
,,,,,,,,exp02,Rastreio por tooltips com mouse passando lentamente sobre as barras,Não efetiva
,,,,,,,,exp03,"Forçar foco operacional: alternância H/setas, cliques nos controles internos da moldura, leitura de tabelas cruas",Não efetiva
,,,,,,,,exp04,"Rastreamento físico com mouse + visão residual até interceptar o bloco numérico (Obj.1); Ctrl+F para ""utilidade"" (Obj.2)",Parcial
,,,,,,,,exp05,Macro-leitura por parágrafo (Ctrl+Seta) para capturar dados adjacentes,Não efetiva
B03,Ocultação absoluta de indicadores numéricos na árvore de acessibilidade (painel),DIN,4,Catastrófica,"Leitor ignora por completo os números centrais do painel; só extraível por zoom/visão residual. Sem resíduo, intransponível.",1.1.1 (A); 4.1.2 (A); 4.1.3 (AA),T5,exp02,"Ampliação extrema (Win + ""+"") com rosto junto ao monitor para decifrar os dígitos borrados",Parcial
B04,Armadilha de teclado (keyboard trap) em filtros/menus expandidos do painel,TEC,4,Catastrófica,Foco preso em loop sem saída; comandos padrão de retorno neutralizados. Obriga a fechar e reabrir a aba. Impede conclusão.,2.1.2 (A),T5,exp03,Varredura cega de teclas + contorno radical: fechar a aba e reabrir a URL do zero,Não efetiva
B05,Expiração de sessão por inatividade (timeout) durante a navegação lenta,TEC,3,Maior,"Barreira cumulativa: a lentidão imposta pela inacessibilidade dispara logout, punindo o usuário. Recarregar não resolveu.",2.2.1 (A),T5,exp01,Reinicialização de layout (F5) para contornar o logout técnico,Não efetiva
B06,Combobox autocomplete de estados fora do padrão ARIA (seletor inacessível por teclado),FORM,4,Catastrófica,"Foco salta para campo de edição invisível; digitar a sigla autocompleta para cidade errada. Cego total só conclui por intuição rara/assistência. Sem resíduo visual, intransponível p/ a maioria.",2.1.1 (A); 4.1.2 (A); 3.3.2 (A),T4,exp01,Mediação assistida por voz: correção de foco dependente de indicação do pesquisador em tempo real,Parcial
,,,,,,,,exp03,"Multi-atalhos (Alt+Seta abaixo), digitação da sigla, Ctrl+F; mudou de seção após dica N2",Não efetiva
,,,,,,,,exp04,Insert+Espaço para destravar do modo edição + clique físico de mouse no estado expandido,Efetiva
,,,,,,,,exp05,"Contorno avançado por intuição (""puxadinho""): digitação rápida das letras cegas ativando autocomplete nativo",Efetiva
B07,"Gráficos complexos sem alternativa textual (densidade demográfica, pirâmide etária)",DIN,4,Catastrófica,"Dados renderizados só visualmente; leitor anuncia ""gráfico/clicável"" e omite números. Quando há texto adjacente o dado sai fácil — quando não há, é intransponível.",1.1.1 (A); 1.3.1 (A),T4,exp03,"Navegação em profundidade por links adjacentes (""Saiba mais"") buscando páginas textuais substitutas",Não efetiva
B08,Sobrecarga linear por listas longas de cidades (sem âncoras / salto),NAV,2,Menor,"Percorrer centenas de linhas até a cidade-alvo; cansativo e demorado, mas contornável com atalhos. Convergência exp03/exp04.",2.4.1 (A),T3,exp03,Salto por macro-comando: Page Down para acelerar a rolagem e encurtar a varredura,Efetiva
,,,,,,,,exp04,"Autocorreção semântica: troca de setas para H, saltando blocos pela inicial alfabética",Efetiva
B09,"Rótulos/componentes obscuros (""Vire o card"")",ROT,2,Menor,"Metáforas visuais não traduzidas semanticamente confundem, mas o usuário contorna por tentativa. Dificulta sem bloquear.",2.4.6 (AA),T3,"exp02, exp03",Clique experimental: ignora o botão incompreensível e testa o link da sigla,Efetiva
